Handedness,Statistic,Statistic Value,Pct Statistical Value
B,Height,72.01923077,0.330952016
L,Height,72.71518987,0.334150177
R,Height,72.87788331,0.334897807
B,Weight,177.4519231,
L,Weight,185.1297468,
R,Weight,185.2455902,
